,function_name,LLVM_globalisel_similarity
89,5_function_45,"[['div', 'a0,', 'a0,', 'zero'], ['srl', 'a1,', 'a1,', 'a2'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
90,5_function_9,"[['slli', 'a1,', 'a1,', '63'], ['andi', 'a3,', 'a2,', '1'], ['srai', 'a1,', 'a1,', '63'], ['mv', 'a2,', 'a0'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a2,', 'a1'], ['remu', 'a1,', 'a1,', 'a2'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
91,3_function_65,"[['zext.w', 'a0,', 'a0'], ['or', 'a1,', 'a1,', 'a2'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
92,8_function_21,"[['rem', 'a1,', 'a0,', 'a1'], ['sra', 'a0,', 'a0,', 'a1'], ['zext.w', 'a0,', 'a0'], ['sext.w', 'a1,', 'a0'], ['and', 'a1,', 'a1,', 'a2'], ['xor', 'a0,', 'a0,', 'a1'], ['snez', 'a0,', 'a0'], ['ret']]"
93,6_function_9,"[['and', 'a0,', 'a0,', 'a1'], ['sext.w', 'a0,', 'a0'], ['ret']]"
94,7_function_28,"[['divu', 'a3,', 'a0,', 'a0'], ['andi', 'a1,', 'a1,', '1'], ['or', 'a0,', 'a3,', 'a0'], ['bnez', 'a1,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['xor', 'a0,', 'a0,', 'a2'], ['div', 'a1,', 'a3,', 'a0'], ['or', 'a0,', 'a1,', 'a0'], ['ret']]"
95,4_function_89,"[['andi', 'a3,', 'a1,', '1'], ['mv', 'a1,', 'a0'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a1,', 'a2'], ['rem', 'a1,', 'a1,', 'a2'], ['rem', 'a1,', 'a1,', 'a1'], ['slt', 'a0,', 'a0,', 'a1'], ['ret']]"
96,3_function_50,"[['andi', 'a1,', 'a1,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['mv', 'a2,', 'a0'], ['and', 'a0,', 'a0,', 'a2'], ['ret']]"
97,4_function_93,"[['slli', 'a1,', 'a0,', '63'], ['srai', 'a1,', 'a1,', '63'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
98,7_function_18,"[['sext.w', 'a2,', 'a0'], ['div', 'a2,', 'a2,', 'a2'], ['div', 'a1,', 'a2,', 'a1'], ['and', 'a1,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
99,8_function_34,"[['divu', 'a1,', 'a1,', 'a2'], ['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['xor', 'a1,', 'a0,', 'a1'], ['snez', 'a1,', 'a1'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['sra', 'a0,', 'a0,', 'a1'], ['divu', 'a1,', 'a2,', 'a0'], ['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
100,6_function_15,"[['divu', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a2'], ['zext.w', 'a0,', 'a0'], ['div', 'a0,', 'a1,', 'a0'], ['ret']]"
101,5_function_81,"[['mv', 'a3,', 'a0'], ['mv', 'a0,', 'a1'], ['andi', 'a3,', 'a3,', '1'], ['bnez', 'a3,', '.LBB0_2'], ['mv', 'a0,', 'a2'], ['ret']]"
102,6_function_46,"[['rem', 'a2,', 'a1,', 'a0'], ['xor', 'a1,', 'a2,', 'a1'], ['remu', 'a2,', 'a1,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a2'], ['ret']]"
103,5_function_31,"[['zext.w', 'a0,', 'a0'], ['rem', 'a1,', 'a0,', 'a0'], ['remu', 'a2,', 'a1,', 'a0'], ['or', 'a1,', 'a1,', 'a2'], ['rem', 'a0,', 'a1,', 'a0'], ['ret']]"
104,7_function_14,"[['remw', 'a0,', 'zero,', 'zero'], ['ret']]"
105,6_function_95,"[['zext.w', 'a3,', 'a2'], ['divu', 'a1,', 'a1,', 'a3'], ['div', 'a1,', 'a1,', 'a2'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
106,7_function_90,"[['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['div', 'a1,', 'a1,', 'a2'], ['sext.w', 'a0,', 'a0'], ['sra', 'a0,', 'a0,', 'a1'], ['srl', 'a1,', 'a0,', 'a2'], ['and', 'a0,', 'a0,', 'a0'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
