,function_name,LLVM_selectiondag_similarity
89,3_function_48,"[['remu', 'a0,', 'a0,', 'a1'], ['sext.w', 'a0,', 'a0'], ['ret']]"
90,5_function_37,"[['and', 'a3,', 'a0,', 'a1'], ['srl', 'a0,', 'a3,', 'a0'], ['div', 'a0,', 'a0,', 'a2'], ['or', 'a0,', 'a3,', 'a0'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
91,5_function_88,"[['li', 'a0,', '0'], ['ret']]"
92,8_function_55,"[['sra', 'a3,', 'a0,', 'a1'], ['srl', 'a0,', 'a0,', 'a3'], ['and', 'a2,', 'a2,', 'a0'], ['remu', 'a0,', 'a0,', 'a2'], ['andi', 'a1,', 'a1,', '1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
93,6_function_78,"[['xori', 'a0,', 'a2,', '1'], ['sltiu', 'a0,', 'a0,', '2'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
94,8_function_21,"[['rem', 'a1,', 'a0,', 'a1'], ['sra', 'a0,', 'a0,', 'a1'], ['zext.w', 'a1,', 'a0'], ['sext.w', 'a0,', 'a0'], ['and', 'a0,', 'a0,', 'a2'], ['xor', 'a0,', 'a1,', 'a0'], ['snez', 'a0,', 'a0'], ['ret']]"
95,4_function_63,"[['li', 'a0,', '0'], ['ret']]"
96,3_function_56,"[['li', 'a0,', '1'], ['ret']]"
97,5_function_54,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['zext.w', 'a1,', 'a0'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
98,3_function_30,"[['andi', 'a1,', 'a1,', '1'], ['xor', 'a0,', 'a0,', 'a1'], ['ret']]"
99,3_function_53,"[['sext.w', 'a1,', 'a1'], ['seqz', 'a0,', 'a1'], ['ret']]"
100,7_function_11,"[['andi', 'a2,', 'a0,', '1'], ['divu', 'a0,', 'a0,', 'a2'], ['remu', 'a1,', 'a2,', 'a1'], ['remu', 'a0,', 'a0,', 'a1'], ['divu', 'a0,', 'a2,', 'a0'], ['ret']]"
101,4_function_38,"[['or', 'a0,', 'a0,', 'a1'], ['ret']]"
102,7_function_75,"[['sext.w', 'a3,', 'a1'], ['or', 'a2,', 'a3,', 'a2'], ['rem', 'a0,', 'a0,', 'a2'], ['andi', 'a1,', 'a1,', '1'], ['slt', 'a0,', 'a1,', 'a0'], ['xori', 'a0,', 'a0,', '1'], ['ret']]"
103,4_function_75,"[['srl', 'a1,', 'a0,', 'a0'], ['or', 'a1,', 'a1,', 'a0'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
104,6_function_65,"[['and', 'a1,', 'a0,', 'a1'], ['slli', 'a1,', 'a1,', '63'], ['srai', 'a1,', 'a1,', '63'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
105,5_function_1,"[['srl', 'a0,', 'a0,', 'a0'], ['remu', 'a0,', 'a0,', 'a1'], ['ret']]"
106,4_function_72,"[['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
107,8_function_39,"[['zext.w', 'a1,', 'a0'], ['srl', 'a0,', 'a1,', 'a0'], ['and', 'a0,', 'a1,', 'a0'], ['ret']]"
108,3_function_38,"[['li', 'a0,', '0'], ['ret']]"
109,6_function_10,"[['li', 'a0,', '0'], ['ret']]"
110,5_function_19,"[['remu', 'a0,', 'a0,', 'a1'], ['slt', 'a1,', 'a1,', 'a2'], ['addi', 'a1,', 'a1,', '-1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
111,6_function_4,"[['slli', 'a2,', 'a0,', '63'], ['srai', 'a2,', 'a2,', '63'], ['rem', 'a0,', 'a0,', 'a2'], ['sext.w', 'a1,', 'a1'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
112,5_function_76,"[['andi', 'a2,', 'a0,', '1'], ['mv', 'a0,', 'a1'], ['bnez', 'a2,', '.LBB0_2'], ['snez', 'a0,', 'a0'], ['addi', 'a0,', 'a0,', '-1'], ['ret']]"
113,5_function_32,"[['div', 'a1,', 'a0,', 'a1'], ['and', 'a0,', 'a1,', 'a0'], ['sra', 'a0,', 'a0,', 'a2'], ['zext.w', 'a0,', 'a0'], ['ret']]"
114,7_function_47,"[['xor', 'a1,', 'a0,', 'a1'], ['divu', 'a0,', 'a1,', 'a0'], ['divu', 'a0,', 'a0,', 'a2'], ['bext', 'a0,', 'a1,', 'a0'], ['ret']]"
115,4_function_15,[['ret']]
116,4_function_61,"[['sext.w', 'a1,', 'a0'], ['srl', 'a0,', 'a1,', 'a0'], ['div', 'a0,', 'a0,', 'a1'], ['ret']]"
117,5_function_22,"[['srli', 'a1,', 'a1,', '63'], ['xori', 'a0,', 'a1,', '1'], ['ret']]"
118,7_function_40,"[['zext.w', 'a2,', 'a2'], ['remu', 'a2,', 'a1,', 'a2'], ['sra', 'a0,', 'a0,', 'a1'], ['sext.w', 'a2,', 'a2'], ['remu', 'a0,', 'a0,', 'a2'], ['ret']]"
119,7_function_77,"[['li', 'a0,', '1'], ['ret']]"
120,4_function_84,"[['sext.w', 'a0,', 'a0'], ['ret']]"
121,3_function_69,"[['zext.w', 'a1,', 'a1'], ['xor', 'a0,', 'a0,', 'a1'], ['seqz', 'a0,', 'a0'], ['ret']]"
122,3_function_82,"[['bext', 'a0,', 'a0,', 'a0'], ['ret']]"
123,4_function_73,"[['andi', 'a1,', 'a0,', '1'], ['bnez', 'a1,', '.LBB0_2'], ['sra', 'a0,', 'a0,', 'a0'], ['ret'], ['li', 'a0,', '1'], ['ret']]"
124,5_function_15,"[['li', 'a0,', '0'], ['ret']]"
125,7_function_12,"[['slli', 'a0,', 'a0,', '63'], ['srai', 'a0,', 'a0,', '63'], ['and', 'a0,', 'a0,', 'a1'], ['ret']]"
126,7_function_88,"[['slli', 'a0,', 'a1,', '63'], ['srai', 'a0,', 'a0,', '63'], ['ret']]"
127,8_function_0,"[['srl', 'a0,', 'a0,', 'a0'], ['srl', 'a0,', 'a0,', 'a1'], ['and', 'a0,', 'a0,', 'a2'], ['ret']]"
128,5_function_48,"[['andi', 'a1,', 'a1,', '1'], ['addi', 'a1,', 'a1,', '-1'], ['and', 'a1,', 'a1,', 'a2'], ['srl', 'a1,', 'a2,', 'a1'], ['rem', 'a1,', 'a0,', 'a1'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
129,4_function_0,[['ret']]
130,5_function_70,"[['rem', 'a2,', 'a0,', 'a1'], ['sra', 'a0,', 'a0,', 'a2'], ['div', 'a0,', 'a0,', 'a1'], ['or', 'a0,', 'a2,', 'a0'], ['ret']]"
131,5_function_68,"[['andi', 'a0,', 'a0,', '1'], ['divu', 'a0,', 'a0,', 'a1'], ['srl', 'a1,', 'a2,', 'a0'], ['or', 'a0,', 'a0,', 'a1'], ['ret']]"
132,6_function_15,"[['divu', 'a1,', 'a0,', 'a1'], ['xor', 'a0,', 'a0,', 'a2'], ['zext.w', 'a0,', 'a0'], ['div', 'a0,', 'a1,', 'a0'], ['ret']]"
133,6_function_91,"[['xor', 'a1,', 'a0,', 'a1'], ['slt', 'a0,', 'a0,', 'a1'], ['xori', 'a0,', 'a0,', '1'], ['remu', 'a0,', 'a0,', 'a1'], ['divu', 'a0,', 'a2,', 'a0'], ['xor', 'a0,', 'a1,', 'a0'], ['seqz', 'a0,', 'a0'], ['ret']]"
134,6_function_13,"[['li', 'a0,', '0'], ['ret']]"
135,6_function_63,"[['li', 'a0,', '-1'], ['ret']]"
136,3_function_26,"[['sltu', 'a0,', 'a0,', 'a1'], ['ret']]"
137,7_function_36,"[['or', 'a3,', 'a0,', 'a1'], ['bltu', 'a1,', 'a3,', '.LBB0_2'], ['mv', 'a2,', 'a1'], ['or', 'a0,', 'a0,', 'a2'], ['xor', 'a0,', 'a0,', 'a2'], ['slt', 'a0,', 'a3,', 'a0'], ['ret']]"
138,3_function_25,"[['divu', 'a0,', 'a0,', 'a1'], ['ret']]"
139,7_function_16,"[['srl', 'a3,', 'a0,', 'a0'], ['sext.w', 'a1,', 'a1'], ['or', 'a0,', 'a1,', 'a0'], ['remu', 'a0,', 'a3,', 'a0'], ['divu', 'a1,', 'a2,', 'a3'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
140,6_function_2,[['ret']]
141,6_function_52,"[['andi', 'a1,', 'a1,', '1'], ['addi', 'a1,', 'a1,', '-1'], ['and', 'a1,', 'a1,', 'a0'], ['rem', 'a0,', 'a0,', 'a1'], ['ret']]"
142,8_function_56,"[['li', 'a0,', '0'], ['ret']]"
143,4_function_21,"[['or', 'a1,', 'a0,', 'a1'], ['and', 'a1,', 'a1,', 'a2'], ['srl', 'a0,', 'a0,', 'a1'], ['ret']]"
144,7_function_9,"[['blt', 'a1,', 'a0,', '.LBB0_2'], ['slt', 'a2,', 'a1,', 'a0'], ['xori', 'a2,', 'a2,', '1'], ['divu', 'a2,', 'a1,', 'a2'], ['divu', 'a0,', 'a0,', 'a2'], ['ret']]"
145,7_function_59,"[['li', 'a0,', '0'], ['ret']]"
146,8_function_40,"[['li', 'a0,', '0'], ['ret']]"
147,7_function_83,"[['bext', 'a4,', 'a0,', 'a0'], ['srl', 'a3,', 'a0,', 'a0'], ['beqz', 'a4,', '.LBB0_3'], ['sra', 'a2,', 'a1,', 'a2'], ['bge', 'a1,', 'a3,', '.LBB0_4'], ['remu', 'a0,', 'a2,', 'a0'], ['ret'], ['sra', 'a2,', 'a3,', 'a2'], ['blt', 'a3,', 'a3,', '.LBB0_2'], ['remu', 'a0,', 'a2,', 'a3'], ['ret']]"
