,tool,bvw,times
535,leanSAT-sat,64,54.288738
536,leanSAT-sat,64,308.541987
537,leanSAT-sat,64,205.011498
538,leanSAT-sat,64,460.512333
539,leanSAT-sat,64,159.958239
540,leanSAT-sat,64,561.028407
541,leanSAT-sat,64,59.33311
542,leanSAT-sat,64,59.515544
543,leanSAT-sat,64,59.618568
544,leanSAT-sat,64,460.733509
545,leanSAT-sat,64,159.505103
546,leanSAT-sat,64,59.197545
547,leanSAT-sat,64,59.312321
548,leanSAT-sat,64,59.412381
549,leanSAT-sat,64,58.726304
550,leanSAT-lrats,4,0.0
551,leanSAT-lrats,4,0.0
552,leanSAT-lrats,4,0.0
553,leanSAT-lrats,4,0.0
554,leanSAT-lrats,4,0.0
555,leanSAT-lrats,4,3.067094
556,leanSAT-lrats,4,1.207517
557,leanSAT-lrats,4,1.035102
558,leanSAT-lrats,4,1.920893
559,leanSAT-lrats,4,3.21339
560,leanSAT-lrats,4,5.47199
561,leanSAT-lrats,4,3.167153
562,leanSAT-lrats,4,4.63426
563,leanSAT-lrats,4,1.086769
564,leanSAT-lrats,4,1.019874
565,leanSAT-lrats,4,1.249307
566,leanSAT-lrats,4,4.906964
567,leanSAT-lrats,4,1.475703
568,leanSAT-lrats,4,1.813292
569,leanSAT-lrats,4,0.0
570,leanSAT-lrats,4,0.0
571,leanSAT-lrats,4,1.354674
572,leanSAT-lrats,8,0.0
573,leanSAT-lrats,8,1.665
574,leanSAT-lrats,8,0.0
575,leanSAT-lrats,8,0.0
576,leanSAT-lrats,8,0.0
577,leanSAT-lrats,8,5.904325
578,leanSAT-lrats,8,2.380039
579,leanSAT-lrats,8,1.930942
580,leanSAT-lrats,8,14.86397
581,leanSAT-lrats,8,8.30963
582,leanSAT-lrats,8,7.132862
583,leanSAT-lrats,8,10.345018
584,leanSAT-lrats,8,25.266257
585,leanSAT-lrats,8,4.94846
586,leanSAT-lrats,8,2.40731
587,leanSAT-lrats,8,3.604847
588,leanSAT-lrats,8,16.479056
589,leanSAT-lrats,8,6.853674
590,leanSAT-lrats,8,3.391276
591,leanSAT-lrats,8,0.0
592,leanSAT-lrats,8,0.0
593,leanSAT-lrats,8,4.047162
594,leanSAT-lrats,16,0.0
595,leanSAT-lrats,16,2.689152
596,leanSAT-lrats,16,0.0
597,leanSAT-lrats,16,0.0
598,leanSAT-lrats,16,0.0
599,leanSAT-lrats,16,15.561636
600,leanSAT-lrats,16,5.632762
601,leanSAT-lrats,16,3.855581
602,leanSAT-lrats,16,19.115176
603,leanSAT-lrats,16,15.724493
604,leanSAT-lrats,16,33.891092
605,leanSAT-lrats,16,18.364561
606,leanSAT-lrats,16,33.589944
607,leanSAT-lrats,16,5.638524
608,leanSAT-lrats,16,3.474873
609,leanSAT-lrats,16,4.105341
610,leanSAT-lrats,16,33.661218
611,leanSAT-lrats,16,10.893693
612,leanSAT-lrats,16,3.982059
613,leanSAT-lrats,16,1.135332
614,leanSAT-lrats,16,1.780458
615,leanSAT-lrats,16,5.410444
616,leanSAT-lrats,32,0.0
617,leanSAT-lrats,32,4.098368
618,leanSAT-lrats,32,0.0
619,leanSAT-lrats,32,0.0
620,leanSAT-lrats,32,0.0
621,leanSAT-lrats,32,29.188905
622,leanSAT-lrats,32,28.967177
623,leanSAT-lrats,32,7.01038
624,leanSAT-lrats,32,25.888831
625,leanSAT-lrats,32,25.81378
626,leanSAT-lrats,32,65.200305
627,leanSAT-lrats,32,27.931944
628,leanSAT-lrats,32,49.323514
629,leanSAT-lrats,32,7.481268
630,leanSAT-lrats,32,7.449858
631,leanSAT-lrats,32,11.839928
632,leanSAT-lrats,32,65.019423
633,leanSAT-lrats,32,11.717166
634,leanSAT-lrats,32,13.557426
635,leanSAT-lrats,32,1.090516
636,leanSAT-lrats,32,2.755847
637,leanSAT-lrats,32,4.802696
638,leanSAT-lrats,64,0.0
639,leanSAT-lrats,64,10.258335
640,leanSAT-lrats,64,0.0
641,leanSAT-lrats,64,0.0
642,leanSAT-lrats,64,0.0
643,leanSAT-lrats,64,79.731689
644,leanSAT-lrats,64,61.942781
645,leanSAT-lrats,64,14.277565
646,leanSAT-lrats,64,105.724756
647,leanSAT-lrats,64,80.121062
648,leanSAT-lrats,64,132.370673
649,leanSAT-lrats,64,57.687566
650,leanSAT-lrats,64,185.870844
651,leanSAT-lrats,64,28.363288
652,leanSAT-lrats,64,13.43179
653,leanSAT-lrats,64,21.901251
654,leanSAT-lrats,64,139.778323
655,leanSAT-lrats,64,43.310926
656,leanSAT-lrats,64,38.347716
657,leanSAT-lrats,64,3.968815
658,leanSAT-lrats,64,10.712561
659,leanSAT-lrats,64,17.849149
660,leanSAT-lratc,4,0.0
661,leanSAT-lratc,4,5.877383
662,leanSAT-lratc,4,0.0
663,leanSAT-lratc,4,0.0
664,leanSAT-lratc,4,0.0
665,leanSAT-lratc,4,8.207187
666,leanSAT-lratc,4,6.114451
667,leanSAT-lratc,4,3.059911
668,leanSAT-lratc,4,7.512889
669,leanSAT-lratc,4,8.466927
670,leanSAT-lratc,4,7.868129
671,leanSAT-lratc,4,8.862623
672,leanSAT-lratc,4,7.202062
673,leanSAT-lratc,4,2.364058
674,leanSAT-lratc,4,5.032691
675,leanSAT-lratc,4,4.123957
676,leanSAT-lratc,4,9.31151
677,leanSAT-lratc,4,6.450625
678,leanSAT-lratc,4,7.295058
679,leanSAT-lratc,4,4.272978
680,leanSAT-lratc,4,3.9557
